De Kommunale Nøgletal;;;;;;
;;;;;;
;Kom.nr;2019;2020;2021;2022;2023
;;;;;;
Langfristet gæld ultimo året pr. indb.;;;;;;
Svendborg Kommune;479;-228;693;417;-302;M
Nordfyns Kommune;480;1.170;1.550;1.844;1.144;M
Langeland Kommune;482;3.264;3.965;-1.768;1.477;M
Ærø Kommune;492;8.947;14.914;21.281;19.562;M
Haderslev Kommune;510;2.945;4.726;7.132;5.116;M
Billund Kommune;530;14.626;11.293;10.727;7.441;M
Sønderborg Kommune;540;3.547;5.157;2.888;3.416;M
Tønder Kommune;550;2.536;2.437;3.149;3.063;M
Esbjerg Kommune;561;6.140;6.372;6.976;4.447;M
Fanø Kommune;563;-4.120;-1.228;-674;-1.008;M
Varde Kommune;573;1.577;2.946;3.284;4.426;M
Vejen Kommune;575;2.207;4.433;2.780;1.297;M
Aabenraa Kommune;580;3.741;3.555;4.664;4.131;M
Fredericia Kommune;607;3.239;4.499;5.522;3.568;M
Kolding Kommune;621;-1.228;2.712;6.138;5.311;M
Vejle Kommune;630;7.274;8.190;7.263;3.153;M
Horsens Kommune;615;1.681;999;-29;-193;M
Herning Kommune;657;9.417;10.670;7.458;9.642;M
Holstebro Kommune;661;-1.547;2.238;4.981;1.187;M
Lemvig Kommune;665;4.644;7.043;3.532;3.554;M
Struer Kommune;671;5.033;4.540;6.772;3.052;M
Syddjurs Kommune;706;-2.328;1.703;3.824;966;M
Norddjurs Kommune;707;1.822;5.814;5.761;4.025;M
Favrskov Kommune;710;6.452;7.436;7.953;4.246;M
Odder Kommune;727;647;1.563;1.495;-1.818;M
Randers Kommune;730;3.306;2.743;3.548;2.496;M
Silkeborg Kommune;740;7.848;7.445;9.605;7.504;M
Samsø Kommune;741;13.950;13.472;13.872;7.786;M
Skanderborg Kommune;746;7.791;9.359;8.961;7.532;M
Aarhus Kommune;751;3.076;2.506;5.650;4.589;M
Ikast-Brande Kommune;756;-763;2.721;4.251;2.855;M
Ringkøbing-Skjern Kommune;760;2.127;1.828;1.622;589;M
Hedensted Kommune;766;-49;1.595;1.496;-1.436;M
Skive Kommune;779;5.212;6.135;5.084;7.625;M
Viborg Kommune;791;3.383;4.217;7.523;4.490;M
Morsø Kommune;773;-1.395;-1.494;3.904;1.499;M
Thisted Kommune;787;6.055;7.858;3.517;4.948;M
Brønderslev Kommune;810;3.102;7.655;5.554;6.412;M
Frederikshavn Kommune;813;166;2.273;2.725;754;M
Vesthimmerlands Kommune;820;704;1.226;1.939;5.075;M
Læsø Kommune;825;2.638;10.191;15.772;19.417;M
Rebild Kommune;840;-345;2.246;2.258;-373;M
Mariagerfjord Kommune;846;763;3.323;3.357;619;M
Jammerbugt Kommune;849;2.220;2.902;1.932;-797;M
Aalborg Kommune;851;-1.011;207;951;-1.140;M
Hjørring Kommune;860;-1.927;-315;-326;-1.348;M
Gennemsnit;;4.916;6.533;6.631;4.928;M
;;;;;;
Likviditet efter kassekreditreglen pr. indb.;;;;;;
Københavns Kommune;101;20.337;25.799;26.742;27.814;25.262
Frederiksberg Kommune;147;10.316;11.998;10.975;12.011;11.085
Ballerup Kommune;151;9.125;10.130;11.287;14.035;15.073
Brøndby Kommune;153;16.533;15.102;15.141;14.190;13.005
Dragør Kommune;155;2.046;3.178;6.268;5.660;5.390
Gentofte Kommune;157;7.125;6.298;6.144;9.706;9.373
Gladsaxe Kommune;159;19.534;22.850;22.029;20.623;18.756
Glostrup Kommune;161;8.914;7.325;8.593;8.188;7.824
Herlev Kommune;163;5.320;6.175;7.865;5.364;3.714
Albertslund Kommune;165;6.482;5.777;6.457;4.750;4.392
Hvidovre Kommune;167;10.989;11.839;12.367;9.969;9.187
Høje-Taastrup Kommune;169;11.561;12.669;8.725;4.154;4.399
Lyngby-Taarbæk Kommune;173;12.615;13.946;13.375;10.486;7.112
Rødovre Kommune;175;3.314;3.755;6.758;5.733;4.692
Ishøj Kommune;183;10.169;13.356;16.534;15.329;13.543
Tårnby Kommune;185;20.993;20.142;18.171;14.570;12.086
Vallensbæk Kommune;187;9.945;12.076;15.474;14.340;12.393
Furesø Kommune;190;6.270;6.911;8.453;6.991;4.700
Allerød Kommune;201;2.902;2.345;2.306;2.741;2.128
Fredensborg Kommune;210;5.648;6.817;8.036;6.701;5.345
Helsingør Kommune;217;2.593;2.556;4.425;3.891;3.241
Hillerød Kommune;219;5.311;4.142;7.416;8.125;6.394
Hørsholm Kommune;223;2.059;5.125;6.566;7.504;5.848
Rudersdal Kommune;230;2.879;4.812;6.243;7.263;5.242
Egedal Kommune;240;9.557;12.904;12.854;5.941;3.934
Frederikssund Kommune;250;3.746;5.923;9.293;7.970;7.122
Halsnæs Kommune;260;4.609;7.280;7.750;6.868;5.458
Gribskov Kommune;270;2.303;3.114;7.346;7.084;4.843
Bornholms Kommune;400;5.815;6.891;8.642;7.081;5.384
Greve Kommune;253;7.664;9.452;11.606;10.661;9.647
Køge Kommune;259;4.488;5.965;8.162;8.440;7.526
Roskilde Kommune;265;1.663;3.067;4.128;4.737;4.373
Solrød Kommune;269;11.770;13.990;15.820;15.732;13.050
Odsherred Kommune;306;2.332;5.004;4.441;4.037;4.163
Holbæk Kommune;316;3.301;4.792;5.632;6.653;6.768
Faxe Kommune;320;2.775;3.515;4.411;3.637;2.380
Kalundborg Kommune;326;6.851;6.958;6.155;5.408;4.090
Ringsted Kommune;329;8.922;8.294;9.770;9.466;8.184
Slagelse Kommune;330;4.636;5.580;5.013;2.692;2.225
Stevns Kommune;336;5.694;6.354;6.945;5.399;4.838
Sorø Kommune;340;3.441;4.399;5.559;5.862;5.684
Lejre Kommune;350;3.685;5.297;7.950;6.988;6.816
Lolland Kommune;360;2.275;1.556;2.778;3.415;3.579
Næstved Kommune;370;5.722;6.948;7.991;8.582;8.417
Guldborgsund Kommune;376;8.412;11.803;14.094;12.991;10.417
Vordingborg Kommune;390;3.141;3.702;4.056;2.400;1.851
Middelfart Kommune;410;3.925;4.898;7.054;8.349;7.464
Assens Kommune;420;10.359;13.155;13.141;13.030;12.249
Faaborg-Midtfyn Kommune;430;7.739;6.892;7.656;7.231;6.143
Kerteminde Kommune;440;5.225;6.974;6.408;4.272;2.588
Nyborg Kommune;450;9.192;11.575;12.047;13.288;11.642
Odense Kommune;461;7.069;8.730;11.665;13.574;13.314
Svendborg Kommune;479;2.649;3.820;3.790;4.433;3.664
Nordfyns Kommune;480;4.365;4.093;5.504;5.542;4.741
Langeland Kommune;482;6.192;2.769;1.861;1.412;918
Ærø Kommune;492;11.255;14.224;21.670;23.808;21.029
Haderslev Kommune;510;6.257;8.105;9.934;11.271;9.901
Billund Kommune;530;13.232;14.128;11.832;10.244;10.739
Sønderborg Kommune;540;6.854;8.066;8.209;7.869;8.124
Tønder Kommune;550;6.985;5.949;7.117;8.333;8.027
Esbjerg Kommune;561;9.070;9.190;9.509;10.205;9.201
Fanø Kommune;563;1.412;4.317;4.413;5.994;3.987
Varde Kommune;573;4.974;5.435;5.976;7.713;8.576
Vejen Kommune;575;5.205;6.164;6.890;5.905;4.858
Aabenraa Kommune;580;7.239;6.703;8.628;8.515;8.440
Fredericia Kommune;607;5.862;8.072;8.630;9.806;9.200
Kolding Kommune;621;2.103;5.429;8.039;10.303;9.856
Vejle Kommune;630;12.055;8.337;12.408;10.595;8.610
Horsens Kommune;615;5.228;4.879;4.438;4.401;3.680
Herning Kommune;657;8.181;8.783;10.045;10.478;9.592
Holstebro Kommune;661;1.808;2.906;5.997;7.408;5.868
Lemvig Kommune;665;6.746;8.156;9.305;5.942;6.767
Struer Kommune;671;6.006;7.190;6.287;6.452;6.072
Syddjurs Kommune;706;2.758;3.618;6.507;6.837;5.263
Norddjurs Kommune;707;4.643;8.819;11.672;11.534;10.430
Favrskov Kommune;710;8.923;9.975;10.784;10.206;8.179
Odder Kommune;727;4.001;3.772;4.648;3.948;2.282
Randers Kommune;730;2.684;4.463;6.160;6.732;6.037
Silkeborg Kommune;740;7.429;6.203;7.262;8.253;5.991
Samsø Kommune;741;13.123;13.460;16.057;14.072;11.786
Skanderborg Kommune;746;6.625;7.971;9.799;9.452;8.480
Aarhus Kommune;751;5.625;6.055;6.458;8.857;8.413
Ikast-Brande Kommune;756;2.860;5.746;6.905;8.182;6.773
Ringkøbing-Skjern Kommune;760;5.916;5.621;5.493;6.174;5.327
Hedensted Kommune;766;3.703;3.497;5.544;5.127;3.709
Skive Kommune;779;9.560;10.292;10.084;12.148;12.129
Viborg Kommune;791;4.644;4.959;8.188;9.514;7.712
Morsø Kommune;773;3.075;2.771;4.190;5.167;4.004
Thisted Kommune;787;5.634;6.214;7.699;7.286;5.918
Brønderslev Kommune;810;6.410;7.073;8.654;8.944;7.907
Frederikshavn Kommune;813;3.401;4.381;6.141;6.063;5.177
Vesthimmerlands Kommune;820;3.390;4.149;5.612;6.008;5.492
Læsø Kommune;825;1.038;8.380;19.647;22.324;21.897
Rebild Kommune;840;3.081;4.072;6.027;5.172;3.472
Mariagerfjord Kommune;846;3.942;6.025;7.936;8.393;6.192
Jammerbugt Kommune;849;5.180;5.152;5.520;4.554;3.417
Aalborg Kommune;851;2.705;2.836;3.827;3.785;2.560
Hjørring Kommune;860;2.500;3.669;6.361;4.854;4.183
Gennemsnit;;7.714;9.050;10.188;10.403;9.277
;;;;;;
Tegnforklaring:;;;;;;
-  Et 'rent' nul (afrundede nuller vises som 0 eller 0,0 osv.);;;;;;
M  Det pågældende nøgletal mangler for året.;;;;;;
U  Det pågældende nøgletal er udefineret for året.;;;;;;
Valgte kommuner:;;;;;;

I rapporten indgår de 98 kommuner fra gruppen 'Marker alle kommuner'.;;;;;;
;;;;;;
Indenrigs- og Sundhedsministeriet d. 21. november 2023;;;;;;
