Kom.nr;Aarstal;GruppeId;Tal
530;2021;80;3.949
540;2021;80;19.876
550;2021;80;15.123
561;2021;80;18.816
563;2021;80;22.002
573;2021;80;17.934
575;2021;80;15.177
580;2021;80;15.601
607;2021;80;30.069
621;2021;80;18.343
630;2021;80;14.162
615;2021;80;15.970
657;2021;80;13.385
661;2021;80;17.475
665;2021;80;18.342
671;2021;80;24.128
706;2021;80;18.114
707;2021;80;22.977
710;2021;80;13.235
727;2021;80;17.427
730;2021;80;18.270
740;2021;80;12.202
741;2021;80;122.342
746;2021;80;15.336
751;2021;80;19.375
756;2021;80;17.411
760;2021;80;19.233
766;2021;80;12.728
779;2021;80;18.695
791;2021;80;13.669
773;2021;80;25.580
787;2021;80;18.705
810;2021;80;19.451
813;2021;80;20.648
820;2021;80;26.057
825;2021;80;68.639
840;2021;80;14.975
846;2021;80;22.305
849;2021;80;25.389
851;2021;80;13.144
860;2021;80;23.248
101;2022;80;4.011
147;2022;80;20.236
151;2022;80;15.310
153;2022;80;7.814
155;2022;80;19.286
157;2022;80;26.762
159;2022;80;16.166
161;2022;80;13.733
163;2022;80;13.793
165;2022;80;31.453
167;2022;80;12.339
169;2022;80;10.814
173;2022;80;9.975
175;2022;80;22.158
183;2022;80;19.842
185;2022;80;0
187;2022;80;24.565
190;2022;80;58.870
201;2022;80;14.983
210;2022;80;8.289
217;2022;80;10.233
219;2022;80;12.781
223;2022;80;16.984
230;2022;80;24.497
240;2022;80;13.246
250;2022;80;16.185
260;2022;80;28.770
270;2022;80;18.613
400;2022;80;18.113
253;2022;80;13.906
259;2022;80;19.930
265;2022;80;18.770
269;2022;80;13.469
306;2022;80;20.606
316;2022;80;18.946
320;2022;80;11.134
326;2022;80;5.365
329;2022;80;14.084
330;2022;80;18.362
336;2022;80;12.670
340;2022;80;22.345
350;2022;80;20.459
360;2022;80;28.945
370;2022;80;16.010
376;2022;80;25.154
390;2022;80;24.134
410;2022;80;14.342
420;2022;80;17.500
430;2022;80;10.921
440;2022;80;20.830
450;2022;80;534
461;2022;80;9.427
479;2022;80;24.508
480;2022;80;6.743
482;2022;80;17.949
492;2022;80;55.051
510;2022;80;15.875
530;2022;80;3.699
540;2022;80;21.745
550;2022;80;14.854
561;2022;80;19.169
563;2022;80;22.976
573;2022;80;18.859
575;2022;80;15.188
580;2022;80;14.855
607;2022;80;28.140
621;2022;80;17.432
630;2022;80;13.740
615;2022;80;15.116
657;2022;80;13.391
661;2022;80;18.344
665;2022;80;19.340
671;2022;80;24.242
706;2022;80;19.630
707;2022;80;19.670
710;2022;80;10.657
727;2022;80;17.669
730;2022;80;17.726
740;2022;80;11.930
741;2022;80;119.659
746;2022;80;15.373
751;2022;80;18.922
756;2022;80;16.449
760;2022;80;20.140
766;2022;80;12.118
779;2022;80;17.617
791;2022;80;10.300
773;2022;80;25.171
787;2022;80;18.920
810;2022;80;19.012
813;2022;80;18.148
820;2022;80;24.057
825;2022;80;66.288
840;2022;80;13.732
846;2022;80;19.702
849;2022;80;24.778
851;2022;80;13.193
860;2022;80;23.297
